epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80751,1.33457,3.3156,1.56335,0.00331,0.90625,0.17675,0.10333,1.20172,3.8784,1.74613,3.334e-05,3.334e-05,3.334e-05
2,16.9037,1.13576,3.1185,1.42764,0.00352,0.9375,0.39341,0.25575,1.02662,3.80122,1.57831,8.16997e-05,8.16997e-05,8.16997e-05
3,24.6802,1.11751,3.13914,1.56199,0.00366,1,0.42399,0.32378,0.91267,3.62579,1.41194,0.000128079,0.000128079,0.000128079
4,32.5933,1.21815,2.43924,1.51031,0.0033,1,0.49621,0.33121,0.99635,3.42737,1.44434,0.000172478,0.000172478,0.000172478
5,40.4252,0.89451,1.84918,1.2117,0.00313,1,0.49733,0.34451,0.88439,3.25684,1.30818,0.000214896,0.000214896,0.000214896
6,48.3749,0.9856,1.56613,1.18862,0.79048,0.5,0.45165,0.30468,0.93414,3.30052,1.34926,0.000255334,0.000255334,0.000255334
7,56.8376,1.02286,1.51505,1.26349,0.91953,0.32647,0.47738,0.32183,0.85335,3.22553,1.28516,0.000293792,0.000293792,0.000293792
8,64.9705,0.87381,1.70474,1.25312,0.95413,0.34375,0.52078,0.37503,0.8988,3.08656,1.34338,0.000330269,0.000330269,0.000330269
9,73.1032,1.00147,1.42252,1.2609,0.95665,0.3299,0.52293,0.36402,1.05506,2.96071,1.48101,0.000364766,0.000364766,0.000364766
10,80.8336,0.77089,1.63906,1.15806,0.95052,0.28485,0.5296,0.38064,0.95911,3.08645,1.33492,0.000397283,0.000397283,0.000397283
11,88.1229,0.9478,1.38853,1.18215,0.94256,0.24154,0.96574,0.67238,0.92467,2.98424,1.32841,0.000427819,0.000427819,0.000427819
12,95.9159,0.9455,1.31427,1.16511,0.94668,0.26255,0.70496,0.47608,0.96506,2.98093,1.3641,0.000456375,0.000456375,0.000456375
13,103.669,0.91769,1.34255,1.16118,0.96285,0.4375,0.71458,0.47431,1.07345,2.78753,1.60902,0.00048295,0.00048295,0.00048295
14,111.484,0.77136,1.58529,1.1277,0.93456,0.41548,0.6256,0.41321,1.0345,2.77921,1.53176,0.000507545,0.000507545,0.000507545
15,118.87,0.99811,1.48814,1.27739,0.95294,0.375,0.52806,0.35078,1.12036,2.81224,1.67189,0.000530159,0.000530159,0.000530159
16,126.155,0.91406,1.40591,1.18466,0.96368,0.3994,0.62547,0.41475,1.09152,2.75965,1.56927,0.000550793,0.000550793,0.000550793
17,134.199,0.89164,1.40244,1.15284,0.9587,0.4375,0.52059,0.33592,1.09467,2.56594,1.55665,0.000569447,0.000569447,0.000569447
18,141.906,0.96899,1.33673,1.30422,0.96734,0.44759,0.51759,0.35549,1.05848,2.5837,1.48768,0.000586121,0.000586121,0.000586121
19,149.673,0.90639,1.56257,1.09877,0.94048,0.46285,0.524,0.36819,1.04397,2.58628,1.50362,0.000600813,0.000600813,0.000600813
20,157.271,0.99802,1.58292,1.20299,0.96981,0.48671,0.52312,0.37123,1.02928,2.38938,1.55917,0.000613526,0.000613526,0.000613526
21,165.342,0.82465,1.30484,1.15489,0.96778,0.45414,0.52455,0.35319,1.10373,2.32681,1.67658,0.000624258,0.000624258,0.000624258
22,173.494,0.95425,1.74146,1.29374,0.93886,0.46875,0.5051,0.31434,1.22436,2.68603,1.68598,0.00063301,0.00063301,0.00063301
23,181.374,0.85089,1.16334,1.14035,0.91197,0.43879,0.49306,0.27372,1.33235,2.91864,1.87363,0.000639781,0.000639781,0.000639781
24,189.339,0.90111,1.20062,1.13349,0.93142,0.40625,0.47325,0.28533,1.26327,2.9443,1.80857,0.000644572,0.000644572,0.000644572
25,197.429,0.89463,1.35915,1.14099,0.90184,0.375,0.48937,0.32839,1.09342,2.71183,1.50606,0.000647383,0.000647383,0.000647383
26,205.568,0.97076,1.37198,1.18217,0.95206,0.40625,0.50175,0.3309,1.05853,2.69406,1.43611,0.000648213,0.000648213,0.000648213
27,213.43,0.87558,1.15146,1.11398,0.96618,0.4311,0.50692,0.32468,1.0829,2.671,1.43664,0.000647063,0.000647063,0.000647063
28,221.549,0.86127,1.13755,1.07825,0.9663,0.43263,0.5115,0.31634,1.09434,2.56438,1.48701,0.000643932,0.000643932,0.000643932
29,229.264,0.94331,1.16826,1.25666,0.9663,0.43263,0.5115,0.31634,1.09434,2.56438,1.48701,0.000638821,0.000638821,0.000638821
30,236.613,0.84824,1.15135,1.16318,0.96771,0.45318,0.52615,0.32691,1.10214,2.4655,1.57815,0.00063173,0.00063173,0.00063173
31,244.116,0.73795,1.09573,1.08533,0.91749,0.47463,0.51979,0.33996,1.12402,2.39194,1.58769,0.000622658,0.000622658,0.000622658
